fn,L,rho0,kd,rhocr,ap,nu1,gamma,kp,zetap,zetap2,zetarho,ar,xi,M,seed,dx,dz,dtmin,t_fin,t_prin,t_check
1,10.0,0.7,1.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,300000,1000,1
2,10.0,1.2,2.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,300000,1000,1
3,10.0,0.7,0.2,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,4.0,5.333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,300000,1000,1
